,precision,recall,f1-score,support
0,0.9585798816568047,0.9759036144578314,0.9671641791044776,332.0
1,0.8461538461538461,0.7457627118644068,0.7927927927927928,59.0
2,0.8611111111111112,0.8857142857142857,0.8732394366197183,35.0
accuracy,0.9366197183098591,0.9366197183098591,0.9366197183098591,0.9366197183098591
macro avg,0.888614946307254,0.8691268706788412,0.8777321361723297,426.0
weighted avg,0.9350011420704811,0.9366197183098591,0.935297329857163,426.0
