,precision,recall,f1-score,support
0,0.9876923076923076,0.9697885196374623,0.9786585365853658,331.0
1,0.9646017699115044,0.9879154078549849,0.9761194029850746,331.0
2,1.0,0.9939577039274925,0.996969696969697,331.0
accuracy,0.9838872104733132,0.9838872104733132,0.9838872104733132,0.9838872104733132
macro avg,0.9840980258679374,0.9838872104733133,0.9839158788467125,993.0
weighted avg,0.9840980258679374,0.9838872104733132,0.9839158788467125,993.0
