,precision,recall,f1-score,support
0,0.9846153846153847,0.9667673716012085,0.975609756097561,331.0
1,0.9588235294117647,0.9848942598187311,0.9716840536512668,331.0
2,1.0,0.9909365558912386,0.9954476479514416,331.0
accuracy,0.9808660624370594,0.9808660624370594,0.9808660624370594,0.9808660624370594
macro avg,0.9811463046757165,0.9808660624370594,0.9809138192334231,993.0
weighted avg,0.9811463046757165,0.9808660624370594,0.980913819233423,993.0
