,precision,recall,f1-score,support
0,0.990625,0.9577039274924471,0.9738863287250384,331.0
1,0.956268221574344,0.9909365558912386,0.973293768545994,331.0
2,0.996969696969697,0.9939577039274925,0.9954614220877458,331.0
accuracy,0.9808660624370594,0.9808660624370594,0.9808660624370594,0.9808660624370594
macro avg,0.9812876395146803,0.9808660624370594,0.9808805064529261,993.0
weighted avg,0.9812876395146802,0.9808660624370594,0.9808805064529261,993.0
