,precision,recall,f1-score,support
0,0.9393063583815029,0.9789156626506024,0.9587020648967551,332.0
1,0.8478260869565217,0.6610169491525424,0.7428571428571429,59.0
2,0.8823529411764706,0.8571428571428571,0.8695652173913043,35.0
accuracy,0.9248826291079812,0.9248826291079812,0.9248826291079812,0.9248826291079812
macro avg,0.8898284621714984,0.8323584896486672,0.8570414750484008,426.0
weighted avg,0.9219572841649535,0.9248826291079812,0.9214845999600698,426.0
