,precision,recall,f1-score,support
0,0.9047619047619048,0.9728915662650602,0.9375907111756169,332.0
1,0.6,0.4576271186440678,0.5192307692307693,59.0
2,0.9583333333333334,0.6571428571428571,0.7796610169491526,35.0
accuracy,0.8755868544600939,0.8755868544600939,0.8755868544600939,0.8755868544600939
macro avg,0.8210317460317461,0.6958871806839951,0.7454941657851796,426.0
weighted avg,0.8669545048066175,0.8755868544600939,0.8666733969205175,426.0
