,precision,recall,f1-score,support
0,0.9498525073746312,0.9698795180722891,0.9597615499254843,332.0
1,0.8235294117647058,0.711864406779661,0.7636363636363637,59.0
2,0.8888888888888888,0.9142857142857143,0.9014084507042254,35.0
accuracy,0.9295774647887324,0.9295774647887324,0.9295774647887324,0.9295774647887324
macro avg,0.8874236026760753,0.8653432130458881,0.8749354547553577,426.0
weighted avg,0.9273483071680898,0.9295774647887324,0.9278044032968407,426.0
